species;lat;lon
Betula ermanii;53.227829;158.020374
Betula ermanii;59.97;30.32
Betula ermanii;36.555935;139.188334
Betula ermanii;53.130704;158.62821
Betula ermanii;35.735958;139.014087
Betula ermanii;54.052196;158.038544
Betula ermanii;36.798691;139.389428
Betula ermanii;35.381754;138.697128
Betula ermanii;47.975089;142.038886
Betula ermanii;54.955301;158.0689
Betula ermanii;54.052674;158.033755
Betula ermanii;54.388623;158.302765
Betula ermanii;53.296556;157.469702
Betula ermanii;43.2068;133.51042
Betula ermanii;43.2068;133.51042
Betula ermanii;52.978268;158.694092
Betula ermanii;52.698227;157.339446
Betula ermanii;53.054674;158.592818
Betula ermanii;54.436646;125.502072
Betula ermanii;53.076404;158.689121
Betula ermanii;53.206657;158.416702
Betula ermanii;53.655828;158.152685
Betula ermanii;52.906595;158.694503
Betula ermanii;53.033911;158.689406
Betula ermanii;53.150093;157.886353
Betula ermanii;52.922511;158.686328
Betula ermanii;53.075022;158.682972
Betula ermanii;54.17429;157.999939
Betula ermanii;54.051966;158.038882
Betula ermanii;44.054215;145.105141
Betula ermanii;35.367152;138.784622
Betula ermanii;53.94651;157.737717
Betula ermanii;40.654597;140.301225
Betula ermanii;35.33476;138.729848
Betula ermanii;42.838855;140.785462
Betula ermanii;35.337053;138.732175
Betula ermanii;35.31933;127.731026
Betula ermanii;35.273705;127.476286
Betula ermanii;35.273705;127.476286
Betula ermanii;41.244853;128.799827
Betula ermanii;41.266667;128
Betula ermanii;41.542238;128.716667
Betula ermanii;41.244853;128.799827
Betula ermanii;41.36611;127.03222
Betula ermanii;41.54222;128.72167
Betula ermanii;41.366667;127.966667
Betula ermanii;41.54306;128.43778
Betula ermanii;35.344815;127.619934
Betula ermanii;38.653681;128.105069
Betula ermanii;35.336733;127.730564
Betula ermanii;40.390227;128.409147
Betula ermanii;35.301502;127.54878
Betula ermanii;42.273101;130.595706
Betula ermanii;40.390227;128.409147
Betula ermanii;35.350696;127.722931
Betula ermanii;41.244853;128.799827
Betula ermanii;41.165278;128.779444
Betula ermanii;41.165278;128.779444
Betula ermanii;35.273705;127.476286
Betula ermanii;35.273705;127.476286
Betula ermanii;42.21806;129.69694
Betula ermanii;40.390227;128.409147
Betula ermanii;35.301502;127.54878
Betula ermanii;38.653681;128.105069
Betula ermanii;35.273705;127.476286
Betula ermanii;35.336733;127.730564
Betula ermanii;40.73841;127.65701
Betula ermanii;35.363332;127.680679
Betula ermanii;41.996853;128.07312
Betula ermanii;35.317752;127.691882
Betula ermanii;35.344815;127.619934
Betula ermanii;35.301502;127.54878
Betula ermanii;38.653681;128.105069
Betula ermanii;35.301502;127.54878
Betula ermanii;35.301502;127.54878
Betula ermanii;35.317752;127.691882
Betula ermanii;35.354479;127.706975
Betula ermanii;41.475;129.02333
Betula ermanii;38.653681;128.105069
Betula ermanii;35.317752;127.691882
Betula ermanii;35.294322;127.531099
Betula ermanii;55.8666;121.6
Betula ermanii;56.3333;121.516
