species;latitude;longitude
Pinus koraiensis;45.1812;136.0527
Pinus koraiensis;45.1836;136.0443
Pinus koraiensis;45.7898;135.1229
Pinus koraiensis;45.8133;135.2459
Pinus koraiensis;45.7949;135.2918
Pinus koraiensis;42.8634;133.8071
Pinus koraiensis;43.587;133.3922
Pinus koraiensis;44.3043;133.7124
Pinus koraiensis;44.1162;133.9959
Pinus koraiensis;43.7183;133.881
Pinus koraiensis;43.7364;133.8753
Pinus koraiensis;43.5883;134.16514
Pinus koraiensis;43.6364;134.1888
Pinus koraiensis;43.6576;134.3915
Pinus koraiensis;43.5779;134.6234
Pinus koraiensis;43.2873;131.6015
Pinus koraiensis;43.3459;131.6079
Pinus koraiensis;43.0815;132.6986
Pinus koraiensis;43.0951;132.7012
Pinus koraiensis;43.113;132.7106
Pinus koraiensis;43.1192;132.7029
Pinus koraiensis;43.2208;131.9946
Pinus koraiensis;43.2207;131.9858
Pinus koraiensis;43.2216;132.037
Pinus koraiensis;43.1969;132.0349
Pinus koraiensis;43.2535;132.1589
Pinus koraiensis;43.6338;132.4135
Pinus koraiensis;43.6279;132.3836
Pinus koraiensis;43.6438;132.4372
Pinus koraiensis;43.6052;132.3923
Pinus koraiensis;43.7189;132.545
Pinus koraiensis;43.101825;132.788049
Pinus koraiensis;43.741242;135.26539
Pinus koraiensis;43.239348;132.79499
Pinus koraiensis;45.791325;135.645798
Pinus koraiensis;43.663457;132.375175
Pinus koraiensis;43.381168;131.499467
Pinus koraiensis;43.611784;132.225784
Pinus koraiensis;43.066681;132.683111
Pinus koraiensis;43.571311;131.813945
Pinus koraiensis;47.334243;137.929038
Pinus koraiensis;48.14971;137.462924
Pinus koraiensis;47.95684;138.178297
Pinus koraiensis;44.348938;133.951814
Pinus koraiensis;45.798206;135.300731
Pinus koraiensis;47.185385;138.615219
Pinus koraiensis;47.003782;138.541119
Pinus koraiensis;43.116767;131.50548
Pinus koraiensis;49.238531;131.614768
Pinus koraiensis;47.137464;136.697574
Pinus koraiensis;50.732019;137.362973
Pinus koraiensis;48.589635;130.632165
Pinus koraiensis;46.776314;136.87018
Pinus koraiensis;49.863157;136.76248
Pinus koraiensis;49.358326;132.006418
Pinus koraiensis;49.794933;139.892727
Pinus koraiensis;44.189299;135.007531
Pinus koraiensis;43.324674;131.322411
Pinus koraiensis;47.732929;136.634289
Pinus koraiensis;50.636467;137.462564
Pinus koraiensis;49.85816;136.951608
Pinus koraiensis;50.777314;137.498222
Pinus koraiensis;50.718838;137.534389
Pinus koraiensis;50.896446;137.739002
Pinus koraiensis;50.28504583;134.7075967
Pinus koraiensis;43.21396222;132.0077739
Pinus koraiensis;43.22184346;132.0029674
Pinus koraiensis;48.594696;130.605392
Pinus koraiensis;43.40653423;132.3723297
Pinus koraiensis;43.214763;132.5960493
Pinus koraiensis;43.16036725;132.8009382
Pinus koraiensis;43.214763;132.5960493
Pinus koraiensis;43.16149419;132.7983633
Pinus koraiensis;43.16258981;132.8017536
Pinus koraiensis;43.5590929;134.2546402
Pinus koraiensis;43.15986638;132.8013674
Pinus koraiensis;43.16240199;132.8003803
Pinus koraiensis;43.16233938;132.8017536
Pinus koraiensis;43.57489827;132.5010147
Pinus koraiensis;43.36016912;132.6414744
Pinus koraiensis;43.16083681;132.8009811
Pinus koraiensis;43.130391;133.9285749
Pinus koraiensis;43.130391;133.9285749
Pinus koraiensis;43.04049146;134.1691499
Pinus koraiensis;43.2941166;134.2326186
Pinus koraiensis;43.07413753;134.1839986
Pinus koraiensis;43.130391;133.9285749
Pinus koraiensis;43.130391;133.9285749
Pinus koraiensis;43.130391;133.9285749
Pinus koraiensis;43.130391;133.9285749
Pinus koraiensis;43.130391;133.9285749
Pinus koraiensis;43.45686908;131.7609977
Pinus koraiensis;43.45817745;131.7436599
Pinus koraiensis;42.82765335;132.9940269
Pinus koraiensis;43.17520758;132.9272172
Pinus koraiensis;42.82714977;132.9932974
Pinus koraiensis;42.82800744;132.9925946
Pinus koraiensis;43.2239726;131.9919421
Pinus koraiensis;43.19573457;132.1097312
Pinus koraiensis;43.2239726;131.9919421
Pinus koraiensis;43.25272161;132.1118304
Pinus koraiensis;43.3696608;132.1724749
Pinus koraiensis;43.60756683;132.5092881
Pinus koraiensis;43.39148982;131.4894987
Pinus koraiensis;43.2239726;131.9919421
