species;lat;lon
Abies sachalinensis;45.077;142.1132
Abies sachalinensis;44.749;142.242
Abies sachalinensis;45.0752;142.1185
Abies sachalinensis;41.765;140.147
Abies sachalinensis;42.958;141.257
Abies sachalinensis;42.6748;141.6354
Abies sachalinensis;44.243;142.203
Abies sachalinensis;45.073;142.122
Abies sachalinensis;44.321;142.282
Abies sachalinensis;42.963;141.223
Abies sachalinensis;44.816;142.278
Abies sachalinensis;44.783;142.117
Abies sachalinensis;41.81;140.12
Abies sachalinensis;44.783;142.117
Abies sachalinensis;42.6651;141.5994
Abies sachalinensis;44.403;142.184
Abies sachalinensis;44.404;142.118
Abies sachalinensis;42.6725;141.6233
Abies sachalinensis;44.783;142.117
Abies sachalinensis;44.359;142.287
Abies sachalinensis;44.378;142.213
Abies sachalinensis;42.6713;141.6146
Abies sachalinensis;44.38;142.23
Abies sachalinensis;44.378;142.213
Abies sachalinensis;44.375;142.201
Abies sachalinensis;44.9471;142.1235
Abies sachalinensis;44.729;142.233
Abies sachalinensis;44.791;142.1524
Abies sachalinensis;44.791;142.1524
Abies sachalinensis;44.791;142.1524
Abies sachalinensis;44.7703;142.243
Abies sachalinensis;45.055;142.1183
Abies sachalinensis;44.8661;142.115
Abies sachalinensis;44.7908;142.1545
Abies sachalinensis;44.7292;142.2332
Abies sachalinensis;44.74;142.2287
Abies sachalinensis;44.7654;142.2765
Abies sachalinensis;45.0481;142.1027
Abies sachalinensis;45.0471;142.1021
Abies sachalinensis;45.0551;142.1177
Abies sachalinensis;45.0717;142.0467
Abies sachalinensis;44.8617;142.127
Abies sachalinensis;44.9448;142.1133
Abies sachalinensis;45.004;142.0673
Abies sachalinensis;45.0472;142.1101
Abies sachalinensis;45.0476;142.1109
Abies sachalinensis;44.73;142.233
Abies sachalinensis;44.73;142.233
Abies sachalinensis;45.012;142.141
Abies sachalinensis;44.796;142.258
Abies sachalinensis;44.749;142.205
Abies sachalinensis;44.749;142.205
Abies sachalinensis;44.7661;142.2197
Abies sachalinensis;46.641639;142.889223
Abies sachalinensis;43.846944;142.770278
Abies sachalinensis;43.13;141.193
Abies sachalinensis;43.125;141.168
Abies sachalinensis;44.7672;147.1836
Abies sachalinensis;43.764125;39.742835
Abies sachalinensis;42.9;140.75
