longitude;latitude;species
132.517759468313;52.1785344306557;Picea jezoensis
128.186577273482;54.0218895278225;Picea jezoensis
130.757133097148;53.8810915990726;Picea jezoensis
129.1245122679;53.2410591302036;Picea jezoensis
131.463917187746;52.9291719800188;Picea jezoensis
138.808338451037;53.630650902601;Picea jezoensis
136.894274835828;53.2820428037831;Picea jezoensis
136.643308990467;51.8574851068238;Picea jezoensis
133.692307773276;51.7810467139021;Picea jezoensis
132.639868321786;51.7266376222959;Picea jezoensis
134.936899438407;53.583588621056;Picea jezoensis
134.043413195072;53.2115808533987;Picea jezoensis
132.53158903885;50.4377391858147;Picea jezoensis
131.408636144768;49.9634677851033;Picea jezoensis
131.45057597919;50.0671771251932;Picea jezoensis
130.815169913151;50.5267322522327;Picea jezoensis
130.962259927855;49.5022536823952;Picea jezoensis
130.295815838267;48.0300210589259;Picea jezoensis
128.894920661645;47.1730744906364;Picea jezoensis
129.408497207229;48.4888660128192;Picea jezoensis
131.211200385963;48.6534142883349;Picea jezoensis
128.683434346541;53.8374964061352;Picea jezoensis
130.316418426347;49.9034741467954;Picea jezoensis
131.55380134599;51.6813967000253;Picea jezoensis
