species;latitude;longitude;
Abies nephrolepis;38.607406;128.120186; 
Abies nephrolepis;42.133569;129.516792; 
Abies nephrolepis;41.383508;128.166686; 
Abies nephrolepis;38.607406;128.120186; 
Abies nephrolepis;40.376744;127.259383; 
Abies nephrolepis;38.607406;128.120186; 
Abies nephrolepis;42.221899;129.216355; 
Abies nephrolepis;38.588361;128.162139; 
Abies nephrolepis;41.65806;128.63694; 
Abies nephrolepis;41.383508;128.166686; 
Abies nephrolepis;40.381924;127.243652; 
Abies nephrolepis;42.133569;129.516792; 
Abies nephrolepis;42.959527;133.945288; 
Abies nephrolepis;43.097608;134.098146; 
Abies nephrolepis;52.037723;129.421593; 
Abies nephrolepis;43.650237;134.19611; 
Abies nephrolepis;53.150001;140.72509; 
Abies nephrolepis;43.1852;133.994778; 
Abies nephrolepis;44.056748;133.896436; 
Abies nephrolepis;50.218977;139.158388; 
Abies nephrolepis;44.454276;132.855531; 
Abies nephrolepis;54;130.333333; 
Abies nephrolepis;43.097608;134.098146; 
Abies nephrolepis;51.7;134.466667; 
Abies nephrolepis;43.167167;132.694829; 
Abies nephrolepis;53.85;130.016667; 
Abies nephrolepis;44.426057;135.085659; 
Abies nephrolepis;43.097608;134.098146; 
Abies nephrolepis;43.024005;134.038601; 
Abies nephrolepis;53.85;130.016667; 
Abies nephrolepis;43.097608;134.098146; 
Abies nephrolepis;45.137623;136.252858; 
Abies nephrolepis;48.836966;132.801128; 
Abies nephrolepis;48.066008;136.376964; 
Abies nephrolepis;43.097608;134.098146; 
Abies nephrolepis;51.583333;134.583333; 
Abies nephrolepis;43.479268;133.942427; 
Abies nephrolepis;46.067626;135.392507; 
Abies nephrolepis;50.098504;139.107631; 
Abies nephrolepis;43.542226;133.260118; 
Abies nephrolepis;46.067626;135.392507; 
Abies nephrolepis;51.85;134.766667; 
Abies nephrolepis;51.733333;134.55; 
Abies nephrolepis;43.102475;131.490855; 
Abies nephrolepis;39.879848;114.630747; 
Abies nephrolepis;39.879848;114.630747; 
Abies nephrolepis;39.879848;114.630747; 
Abies nephrolepis;43.34333;133.65638; 
Abies nephrolepis;43.10305;131.52555; 
Abies nephrolepis;43.075139;132.698944; 
Abies nephrolepis;36.37509;127.834773; 
Abies nephrolepis;42.786504;128.514494; 
Abies nephrolepis;45.973419;126.723787; 
Abies nephrolepis;49.175188;125.217598; 
Abies nephrolepis;45.973419;126.723787; 
Abies nephrolepis;47.775322;128.91852; 
Abies nephrolepis;37.8;124.68; 
Abies nephrolepis;37.8;124.68; 
Abies nephrolepis;37.8;124.68; 
Abies nephrolepis;37.8;124.68; 
Abies nephrolepis;47.27;135; 
Abies nephrolepis;37.1;128.92; 
Abies nephrolepis;43.763056;129.196667; 
Abies nephrolepis;42.45;128.3; 
Abies nephrolepis;42;130; 
Abies nephrolepis;39.0825;113.5625; 
Abies nephrolepis;44.58333;129.6; 
Abies nephrolepis;51.46692;140.79726; 
Abies nephrolepis;41.55528;128.28667; 
Abies nephrolepis;43.76306;129.19667; 
Abies nephrolepis;43.76306;129.19667; 
Abies nephrolepis;53.845813;130.018784; 
Abies nephrolepis;52.541841;131.045526; 
Abies nephrolepis;52.535537;131.084789; 
Abies nephrolepis;52.560642;131.107255; 
Abies nephrolepis;52.412003;130.55164; 
Abies nephrolepis;48.137951;137.381172; 
Abies nephrolepis;43.447248;133.236679; 
Abies nephrolepis;43.702239;134.191561; 
Abies nephrolepis;45.788663;135.309902; 
Abies nephrolepis;47.370119;137.86031; 
Abies nephrolepis;48.446799;138.308446; 
Abies nephrolepis;47.986799;137.98609; 
Abies nephrolepis;46.991346;138.528702; 
Abies nephrolepis;43.349711;133.654929; 
Abies nephrolepis;44.030392;134.194783; 
Abies nephrolepis;47.091239;138.622593; 
Abies nephrolepis;43.57516;132.740524; 
Abies nephrolepis;45.831296;137.005578; 
Abies nephrolepis;43.398575;131.410524; 
Abies nephrolepis;43.035748;133.839033; 
Abies nephrolepis;43.495454;131.405077; 
Abies nephrolepis;43.423731;132.810907; 
Abies nephrolepis;43.091909;132.714516; 
Abies nephrolepis;43.705856;132.621118; 
Abies nephrolepis;42.996915;132.487225; 
Abies nephrolepis;47.450614;138.729889; 
Abies nephrolepis;48.436994;138.323426; 
Abies nephrolepis;46.554969;138.339408; 
Abies nephrolepis;43.173029;132.826723; 
Abies nephrolepis;51.27795;136.578758; 
Abies nephrolepis;48.921296;138.029185; 
Abies nephrolepis;48.209822;134.757441; 
Abies nephrolepis;50.866306;137.404642; 
Abies nephrolepis;50.723971;137.522451; 
Abies nephrolepis;50.654042;137.34968; 
Abies nephrolepis;47.374324;137.004177; 
Abies nephrolepis;49.691025;139.414357; 
Abies nephrolepis;47.367097;136.941157; 
Abies nephrolepis;47.682092;136.605246; 
Abies nephrolepis;50.337241;139.252338; 
Abies nephrolepis;50.630443;137.459738; 
Abies nephrolepis;50.637128;137.435809; 
Abies nephrolepis;46.891338;134.398944; 
Abies nephrolepis;50.333873;139.230781; 
Abies nephrolepis;48.664283;138.270092; 
Abies nephrolepis;53.123327;139.849644; 
Abies nephrolepis;53.172057;140.726348; 
Abies nephrolepis;47.133112;136.712383; 
Abies nephrolepis;52.273166;134.565302; 
Abies nephrolepis;50.922264;137.759891; 
Abies nephrolepis;49.600624;140.367751; 
Abies nephrolepis;51.263654;136.589693; 
Abies nephrolepis;51.713536;134.314823; 
Abies nephrolepis;52.249064;141.336302; 
Abies nephrolepis;51.903195;140.514999; 
Abies nephrolepis;52.568555;131.119284; 
