longitude;latitude;species
134.216611;44.026472;Picea jezoensis
134.06485;43.188916;Picea jezoensis
138.629303;47.120456;Picea jezoensis
131.530281;43.364483;Picea jezoensis
138.71518;47.415725;Picea jezoensis
137.850887;46.833678;Picea jezoensis
138.308106;48.447723;Picea jezoensis
138.242612;47.804607;Picea jezoensis
134.070767;42.992871;Picea jezoensis
136.494204;45.170423;Picea jezoensis
137.003533;45.823519;Picea jezoensis
137.031756;47.237698;Picea jezoensis
133.354587;44.120182;Picea jezoensis
136.721443;45.090639;Picea jezoensis
133.809805;42.864491;Picea jezoensis
133.433742;44.132257;Picea jezoensis
133.241099;43.413986;Picea jezoensis
133.229754;43.446761;Picea jezoensis
124.73851;55.175932;Picea jezoensis
130.551601;49.169599;Picea jezoensis
124.991876;55.500126;Picea jezoensis
132.908385;53.277878;Picea jezoensis
132.951791;53.051979;Picea jezoensis
132.763602;52.950007;Picea jezoensis
135.088698;48.225043;Picea jezoensis
136.844778;53.784748;Picea jezoensis
137.399918;50.862241;Picea jezoensis
138.167245;56.467312;Picea jezoensis
135.222955;54.718507;Picea jezoensis
135.475902;56.37492;Picea jezoensis
132.702157;56.875664;Picea jezoensis
132.923198;56.711118;Picea jezoensis
134.241771;57.98505;Picea jezoensis
134.745763;57.604495;Picea jezoensis
131.571537;49.484251;Picea jezoensis
136.781151;49.848561;Picea jezoensis
135.09321;48.295457;Picea jezoensis
131.733319;50.756057;Picea jezoensis
140.580833;51.724786;Picea jezoensis
137.533692;50.717288;Picea jezoensis
134.296784;51.721642;Picea jezoensis
134.961991;51.720064;Picea jezoensis
135.816647;54.535191;Picea jezoensis
136.295107;54.138802;Picea jezoensis
132.004405;53.1451;Picea jezoensis
132.041945;54.328018;Picea jezoensis
134.387519;52.167412;Picea jezoensis
138.170282;56.467228;Picea jezoensis
137.812513;57.096783;Picea jezoensis
132.892046;56.711897;Picea jezoensis
139.168671;50.100638;Picea jezoensis
138.017991;48.896438;Picea jezoensis
140.371842;51.543722;Picea jezoensis
136.991916;47.38063;Picea jezoensis
139.223625;50.332979;Picea jezoensis
137.405829;48.644254;Picea jezoensis
136.658764;47.124032;Picea jezoensis
136.71262;47.133156;Picea jezoensis
137.414509;48.640801;Picea jezoensis
136.895448;49.857071;Picea jezoensis
137.461226;50.630644;Picea jezoensis
135.816868;54.534439;Picea jezoensis
135.30906;54.709512;Picea jezoensis
134.646997;54.482009;Picea jezoensis
140.774015;53.148369;Picea jezoensis
131.572007;49.484998;Picea jezoensis
145.1868073;44.15952683;Picea jezoensis
144.7789672;43.79276917;Picea jezoensis
145.4872793;43.21510011;Picea jezoensis
144.7035053;43.04473686;Picea jezoensis
144.9294921;43.06950389;Picea jezoensis
135.0523056;44.70267255;Picea jezoensis
133.4287799;43.05284584;Picea jezoensis
133.1558257;43.53804148;Picea jezoensis
133.8528622;44.01209797;Picea jezoensis
134.0374338;44.09665785;Picea jezoensis
134.7219434;43.89379422;Picea jezoensis
135.0928424;44.11169668;Picea jezoensis
132.35608;43.58041951;Picea jezoensis
134.5197669;44.28763349;Picea jezoensis
137.2697473;46.43959677;Picea jezoensis
137.484192;46.51143682;Picea jezoensis
137.804777;46.56111215;Picea jezoensis
137.0553089;46.13745476;Picea jezoensis
136.4672171;46.03792125;Picea jezoensis
135.850844;45.95260413;Picea jezoensis
137.1571217;48.02568915;Picea jezoensis
137.6781985;47.79012813;Picea jezoensis
138.8612964;47.58501584;Picea jezoensis
138.7920343;47.89189669;Picea jezoensis
138.7617772;47.99977072;Picea jezoensis
139.9395276;48.42846258;Picea jezoensis
140.124561;48.78276596;Picea jezoensis
139.6107828;48.65982556;Picea jezoensis
138.8062252;48.71867539;Picea jezoensis
138.3674784;49.53978103;Picea jezoensis
140.3064443;50.03268938;Picea jezoensis
139.5168394;49.49397134;Picea jezoensis
140.429524;49.51093339;Picea jezoensis
138.4125068;50.71149737;Picea jezoensis
139.4289745;51.04730994;Picea jezoensis
139.0615734;51.17001391;Picea jezoensis
137.9555451;51.28767087;Picea jezoensis
138.1958873;51.64315043;Picea jezoensis
137.7759427;52.07641154;Picea jezoensis
137.4068275;52.12287428;Picea jezoensis
137.6839496;52.54529374;Picea jezoensis
138.3804012;52.63896821;Picea jezoensis
140.0965504;52.48570475;Picea jezoensis
