species;latitude;longitude
larix;44.090426;127.299751
larix;44.204882;125.963198
larix;43.407791;129.815278
larix;43.506124;128.948286
larix;43.683645;127.786285
larix;43.90866;126.364649
larix;43.892679;125.581183
larix;43.507756;126.641341
larix;43.030664;129.321782
larix;43.317945;127.210839
larix;42.739892;130.368963
larix;43.400761;126.024295
larix;42.714266;129.502859
larix;43.426299;125.054338
larix;43.128303;126.904547
larix;42.707843;128.567956
larix;42.557445;129.226647
larix;43.210052;124.615924
larix;42.988149;125.700283
larix;42.56917;126.392774
larix;42.743953;124.98523
larix;42.071853;128.357205
larix;42.786278;124.124824
larix;42.32599;127.189748
larix;42.432521;125.874779
larix;41.937277;127.846833
larix;42.454068;124.341138
larix;42.286017;125.335269
larix;42.161489;126.414415
larix;41.846181;126.932706
larix;41.698988;127.474536
larix;42.072299;124.745312
larix;42.121307;124.100389
larix;41.71683;126.238126
larix;41.74312;125.240659
larix;41.242074;125.476791
larix;41.412418;124.214216
larix;41.003752;123.356396
larix;40.777507;124.961847
larix;40.670481;124.535413
larix;40.750111;123.880793
larix;50.365516;134.112034
larix;50.004408;130.858296
larix;50.004408;130.858296
larix;49.573389;131.127177
larix;49.519313;131.656607
larix;50.035494;131.702544
larix;51.969907;130.170015
larix;52.52254;129.747418
larix;52.93135;129.264337
larix;52.881325;130.08838
larix;52.579611;129.553268
larix;54.880652;127.002976
larix;55.24501;126.694535
larix;55.64111;127.130143
larix;56.128758;126.733262
larix;56.339249;126.278153
larix;57.346906;126.040562
larix;57.856034;126.505627
larix;58.950059;125.89283
larix;59.00097;126.046639
larix;59.266736;126.491654
larix;60.088203;132.026127
larix;62.500854;130.487853
larix;67.355669;137.113107
larix;52.838852;136.522467
larix;52.416395;136.346928
larix;52.469211;136.971312
larix;52.741978;137.805761
larix;52.85301;137.801135
larix;52.932046;137.958964
larix;52.718013;137.248596
larix;54.208623;138.814124
larix;52.549448;138.756949
larix;52.900192;138.115176
larix;51.747374;138.430009
larix;51.246771;138.739858
larix;53.666702;140.417144
larix;52.215887;138.212802
larix;49.612602;138.352675
larix;50.276403;140.07322
larix;50.492337;140.014838
larix;50.570011;140.271677
larix;50.662365;139.47443
larix;50.985429;140.043714
larix;51.355874;139.646659
larix;51.488537;138.733178
larix;48.919494;133.293371
larix;49.223664;133.348654
larix;49.599807;134.016134
larix;54.311815;134.254207
larix;54.908936;134.575802
larix;55.496847;127.962571
larix;55.794332;128.171105
larix;56.418419;128.130661
larix;56.674672;128.09126
larix;56.854557;128.093903
larix;58.086826;128.69071
larix;58.439524;129.530237
larix;60.382288;127.03932
larix;60.645364;127.931202
larix;65.764522;124.90584
larix;67.277481;122.248322
larix;67.575619;120.9198
larix;67.887887;122.089127
larix;69.502083;121.805756
larix;59.445271;145.821561
larix;67.83334;122.090083
larix;66.976854;121.867385
larix;66.506139;120.847098
larix;65.422617;125.135778
larix;65.955043;124.784296
larix;67.128995;139.605333
larix;67.428841;138.206267
larix;67.749519;138.175574
larix;66.021706;139.482728
larix;65.993401;138.68364
larix;65.138516;140.357924
larix;65.66697;155.643982
