species;latitude;longitude;source;no
larix;45.1029;136.549487;botsad;689
larix;43.710115;135.259986;botsad;690
larix;43.382131;132.747218;botsad;691
larix;43.191185;131.247515;botsad;692
larix;43.892516;133.907759;botsad;693
larix;43.892516;133.907759;botsad;694
larix;44.540758;135.442989;botsad;695
larix;43.641242;132.508086;botsad;696
larix;43.399085;131.332659;botsad;697
larix;43.103312;131.490252;botsad;698
larix;43.501275;131.310686;botsad;699
larix;43.403076;131.366991;botsad;700
larix;44.423937;131.369993;botsad;701
larix;42.306337;130.691278;botsad;702
larix;50.319761;127.48222;botsad;703
larix;55.925173;158.702445;botsad;704
larix;55.925173;158.702445;botsad;705
larix;55.925173;158.702445;botsad;706
larix;55.117378;159.067184;botsad;707
larix;55.117378;159.067184;botsad;708
larix;55.925173;158.702445;botsad;709
larix;55.905979;160.060014;botsad;710
larix;56.322023;160.843332;botsad;711
larix;56.322023;160.843332;botsad;712
larix;56.322023;160.843332;botsad;713
larix;56.023917;159.090743;botsad;714
larix;55.830833;160.325833;botsad;715
larix;62.339708;151.105852;botsad;716
larix;48.970818;140.25969;botsad;717
larix;53.678112;142.623306;botsad;718
larix;46.863396;143.155514;botsad;720
larix;46.726014;142.522618;botsad;726
larix;46.726014;142.522618;botsad;727
larix;46.726014;142.522618;botsad;728
larix;50.853288;142.665628;botsad;734
larix;51.792042;143.140039;botsad;735
larix;46.726014;142.522618;botsad;736
larix;46.726014;142.522618;botsad;737
larix;46.726014;142.522618;botsad;738
larix;50.74683;133.4198;botsad;740
larix;50.74683;133.4198;botsad;741
larix;51.004836;132.958013;botsad;742
larix;43.11903;134.307027;botsad;743
larix;43.222189;134.194804;botsad;744
larix;43.222189;134.194804;botsad;745
larix;43.222189;134.194804;botsad;746
larix;43.222189;134.194804;botsad;747
larix;43.222189;134.194804;botsad;748
larix;43.222189;134.194804;botsad;749
larix;43.118905;134.309473;botsad;750
larix;43.118717;134.307113;botsad;751
larix;43.118529;134.307671;botsad;752
larix;43.222189;134.194804;botsad;753
larix;43.222189;134.194804;botsad;754
larix;43.222189;134.194804;botsad;755
larix;43.222189;134.194804;botsad;756
larix;43.222189;134.194804;botsad;757
larix;43.222189;134.194804;botsad;758
larix;43.222189;134.194804;botsad;759
larix;43.127046;134.312907;botsad;760
larix;43.222189;134.194804;botsad;761
larix;43.420166;134.422034;botsad;762
larix;43.420166;134.422034;botsad;763
larix;43.420166;134.422034;botsad;764
larix;43.420166;134.422034;botsad;765
larix;43.420166;134.422034;botsad;766
larix;43.420166;134.422034;botsad;767
larix;43.420166;134.422034;botsad;768
larix;43.420166;134.422034;botsad;769
larix;43.420166;134.422034;botsad;770
larix;43.420166;134.422034;botsad;771
larix;43.420166;134.422034;botsad;772
larix;43.420166;134.422034;botsad;773
larix;43.420166;134.422034;botsad;774
larix;43.303632;134.602216;botsad;775
larix;43.745167;135.272849;botsad;776
larix;43.418145;134.751941;botsad;777
larix;45.043256;136.609225;botsad;778
larix;45.043256;136.609225;botsad;779
larix;45.043256;136.609225;botsad;780
larix;45.043256;136.609225;botsad;781
larix;45.043256;136.609225;botsad;782
larix;49.013831;131.059458;botsad;783
larix;49.013831;131.059458;botsad;784
larix;50.561466;127.647822;botsad;785
larix;44.255169;135.057261;botsad;786
larix;43.42413;134.728595;botsad;787
larix;43.222189;134.194804;botsad;788
larix;45.043256;136.609225;botsad;789
larix;44.557395;135.622719;botsad;790
larix;51.917427;127.581218;botsad;791
larix;55.108257;124.83882;botsad;793
larix;55.108257;124.83882;botsad;794
larix;44.420136;131.316091;botsad;795
larix;44.420136;131.316091;botsad;796
larix;51.302895;143.390022;botsad;797
larix;51.289156;143.381782;botsad;798
larix;51.86594;130.961669;botsad;799
larix;52.573277;131.112396;botsad;800
larix;54.160514;128.006371;botsad;802
larix;54.513277;127.365895;botsad;803
larix;46.62205;137.16447;botsad;804
larix;46.64104;137.08662;botsad;805
larix;46.64275;136.29543;botsad;806
larix;46.6364;137.098183;botsad;807
larix;44.59674;135.55553;botsad;808
larix;52.477803;130.784144;botsad;809
larix;54.536693;122.260958;botsad;810
larix;48.42927;142.09322;botsad;811
larix;54.136667;142.704444;botsad;812
larix;54.136667;142.704444;botsad;813
larix;55.91317;158.7533;botsad;814
larix;44.46742;135.391093;botsad;815
larix;48.98545;140.345043;botsad;816
larix;48.98545;140.345043;botsad;817
larix;49.358167;136.555265;botsad;818
larix;51.39637;143.459127;botsad;819
larix;51.39637;143.459127;botsad;820
larix;50.423334;142.647747;botsad;821
larix;50.423334;142.647747;botsad;822
larix;63.06;137.8525;ermakov;825
larix;42.05;127.59;Cerny et al.;826
larix;0;146.666909;my;827
larix;0;147.915948;my;828
larix;0;147.915948;my;829
larix;0;147.915948;my;830
larix;0;147.915948;my;831
larix;0;142.559804;my;832
larix;0;143.045144;my;833
larix;0;142.933653;my;834
larix;0;142.933653;my;835
larix;0;142.933653;my;836
larix;0;142.657587;my;837
larix;0;142.099187;my;838
larix;0;143.544456;my;839
larix;0;143.228532;my;840
larix;0;142.507468;my;841
larix;0;142.378276;my;842
larix;0;142.920794;my;843
larix;0;142.85673;my;844
larix;0;142.643012;my;845
larix;0;141.947852;my;846
larix;0;141.980056;my;847
larix;0;142.061234;my;848
larix;0;141.952676;my;849
larix;0;142.612679;my;850
larix;0;142.577043;my;851
larix;0;142.082053;my;852
larix;0;142.872041;my;853
larix;0;142.821023;my;854
larix;0;144.318039;my;855
larix;0;136.477281;my;856
larix;0;136.342385;my;857
larix;0;136.994037;my;858
larix;0;137.3519;my;859
larix;0;134.728968;my;860
larix;43.452552;131.348567;my;861
larix;45.044268;147.745356;my;862
larix;52.914197;141.973727;my;863
larix;52.728562;143.080178;my;864
larix;51.528695;142.030194;my;865
larix;51.15459;142.710179;my;866
larix;49.244981;142.992545;my;867
larix;48.231995;142.563134;my;868
larix;48.460984;142.101398;my;869
larix;53.370662;143.064904;my;870
larix;43.714886;146.666771;my;871
larix;54.875447;137.555375;my;872
larix;52.612344;141.136328;my;873
larix;50.871853;140.455038;my;874
larix;53.772621;136.841218;my;875
larix;58.715842;140.811521;my;876
larix;56.849354;138.01344;my;877
larix;58.395657;140.756333;my;878
larix;58.903297;141.7705;my;879
larix;59.666381;140.460294;my;880
larix;59.78522;141.798873;my;881
larix;60.17211;141.410956;my;882
larix;59.67106;140.136306;my;883
larix;59.182785;140.091742;my;884
larix;58.716675;138.970892;my;885
larix;57.602695;137.831266;my;886
larix;56.999863;135.728483;my;887
larix;60.662257;138.763364;my;888
larix;61.127894;143.089724;my;889
larix;60.726513;146.132762;my;890
larix;62.123252;145.581008;my;891
larix;62.381123;146.05567;my;892
larix;60.705221;146.018849;my;893
larix;60.705221;146.018849;my;894
larix;63.027736;145.559243;my;895
larix;63.024356;146.921406;my;896
larix;62.974128;147.999576;my;897
larix;60.892371;149.358391;my;898
larix;64.021567;129.422113;my;899
larix;64.176863;128.580011;my;900
